,level_0,index,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active
8,8,212,213,2020-01-26,California,US,1/26/20 16:00,2.0,0.0,0.0,2.0
12,12,261,262,2020-01-27,California,US,1/27/20 23:59,2.0,0.0,0.0,2.0
16,16,314,315,2020-01-28,California,US,1/28/20 23:00,2.0,0.0,0.0,2.0
20,20,368,369,2020-01-29,California,US,1/29/20 19:30,2.0,0.0,0.0,2.0
24,24,425,426,2020-01-30,California,US,1/30/20 16:00,2.0,0.0,0.0,2.0
27,27,494,495,2020-01-31,California,US,1/31/2020 23:59,2.0,0.0,0.0,2.0
901,901,4649,4650,2020-03-10,California,US,2020-03-10T19:13:28,144.0,2.0,2.0,140.0
953,953,4856,4857,2020-03-11,California,US,2020-03-11T23:53:03,177.0,3.0,2.0,172.0
1005,1005,5072,5073,2020-03-12,California,US,2020-03-12T23:44:33,221.0,4.0,6.0,211.0
1061,1061,5430,5431,2020-03-13,California,US,2020-03-11T20:00:00,282.0,4.0,6.0,272.0
1110,1110,5519,5520,2020-03-14,California,US,2020-03-14T22:13:32,340.0,5.0,6.0,329.0
1164,1164,5770,5771,2020-03-15,California,US,2020-03-15T18:33:03,426.0,6.0,6.0,414.0
1220,1220,6027,6028,2020-03-16,California,US,2020-03-16T23:53:03,557.0,7.0,6.0,544.0
1276,1276,6297,6298,2020-03-17,California,US,2020-03-17T22:53:03,698.0,12.0,6.0,680.0
1332,1332,6576,6577,2020-03-18,California,US,2020-03-18T19:14:34,751.0,13.0,0.0,738.0
1390,1390,6858,6859,2020-03-19,California,US,2020-03-19T21:13:40,952.0,18.0,0.0,934.0
1448,1448,7150,7151,2020-03-20,California,US,2020-03-20T23:43:03,1177.0,23.0,0.0,1154.0
1505,1505,7448,7449,2020-03-21,California,US,2020-03-21T22:43:04,1364.0,24.0,0.0,1340.0
1565,1565,7913,7914,2020-03-22,California,US,3/8/20 5:31,1646.0,30.0,0.0,1616.0
1624,1624,8216,8217,2020-03-23,California,US,2020-03-23 23:23:20,2108.0,39.0,0.0,2069.0
1682,1682,8518,8519,2020-03-24,California,US,2020-03-24 23:41:50,2538.0,50.0,0.0,2488.0
1741,1741,8825,8826,2020-03-25,California,US,2020-03-25 23:37:49,2998.0,65.0,0.0,2933.0
1800,1800,9134,9135,2020-03-26,California,US,2020-03-26 23:53:24,3899.0,81.0,0.0,3818.0
1859,1859,9446,9447,2020-03-27,California,US,2020-03-27 23:27:48,4657.0,94.0,0.0,4563.0
1918,1918,9761,9762,2020-03-28,California,US,3/8/20 5:31,5095.0,110.0,0.0,4985.0
1977,1977,10077,10078,2020-03-29,California,US,3/8/20 5:31,5852.0,124.0,0.0,5728.0
2036,2036,10394,10395,2020-03-30,California,US,3/8/20 5:31,7138.0,146.0,0.0,6992.0
2094,2094,10712,10713,2020-03-31,California,US,2020-03-31 23:49:27,8210.0,173.0,0.0,8037.0
2152,2152,11030,11031,2020-04-01,California,US,2020-04-01 22:04:58,9420.0,198.0,0.0,9222.0
2210,2210,11350,11351,2020-04-02,California,US,4/2/20 8:53,10792.0,237.0,0.0,10555.0
2268,2268,11670,11671,2020-04-03,California,US,2020-04-03 22:52:45,12032.0,265.0,0.0,11767.0
2326,2326,11990,11991,2020-04-04,California,US,4/4/20 9:38,12839.0,287.0,0.0,12552.0
2384,2384,12312,12313,2020-04-05,California,US,2020-04-05 23:13:44,15035.0,348.0,0.0,14687.0
2442,2442,12636,12637,2020-04-06,California,US,4/6/20 9:37,16036.0,380.0,0.0,15656.0
2500,2500,12960,12961,2020-04-07,California,US,2020-04-07 23:11:31,17369.0,429.0,0.0,16940.0
2558,2558,13284,13285,2020-04-08,California,US,2020-04-08 22:59:00,18934.0,497.0,0.0,18437.0
2616,2616,13608,13609,2020-04-09,California,US,2020-04-09 23:09:19,19745.0,547.0,0.0,19198.0
2674,2674,13933,13934,2020-04-10,California,US,2020-04-10 23:01:43,21120.0,586.0,0.0,20534.0
2732,2732,14258,14259,2020-04-11,California,US,2020-04-11 22:52:46,21709.0,606.0,0.0,21103.0
2790,2790,14583,14584,2020-04-12,California,US,2020-04-12 23:25:00,22805.0,643.0,0.0,22162.0
2848,2848,14907,14908,2020-04-13,California,US,2020-04-13 23:15:42,23956.0,713.0,0.0,23243.0
2906,2906,15231,15232,2020-04-14,California,US,2020-04-14 23:41:11,25427.0,766.0,0.0,24661.0
2964,2964,15555,15556,2020-04-15,California,US,2020-04-15 23:04:26,26719.0,866.0,0.0,25853.0
